scope,factor,factor_column,blockchain,level,metric,statistic,aggregation,total_configuration_cells,contributing_configuration_cells,metric_observations,minimum_n_metric,maximum_n_metric,point_estimate,ci_lower,ci_upper
six_workloads,workload,workload,Diem,PayPal,tps_positive_commit,sample_std_pct,mean,10,10,142,11,23,3.6541367942445726,1.2722021942974129,5.422314397624159
six_workloads,workload,workload,Diem,PayPal,tps_positive_commit,sample_std_pct,median,10,10,142,11,23,1.2510043366896664,0.7786219427982415,1.4532470817461733
six_workloads,workload,workload,Diem,VISA,tps_positive_commit,iqr_pct,mean,10,10,137,9,23,15.1573527297406,9.976962353410535,17.734591204965252
six_workloads,workload,workload,Diem,VISA,tps_positive_commit,iqr_pct,median,10,10,137,9,23,9.298067106060994,5.639605306673451,10.572527129919422
six_workloads,workload,workload,Diem,VISA,tps_positive_commit,sample_std_pct,mean,10,10,137,9,23,11.767732330731615,8.966621200506713,13.390318958093784
six_workloads,workload,workload,Diem,VISA,tps_positive_commit,sample_std_pct,median,10,10,137,9,23,6.389977101765624,4.954409949207812,7.268193665361218
six_workloads,workload,workload,Ethereum,DDoS,tps_positive_commit,iqr_pct,mean,10,10,130,11,14,37.73049964675378,26.793799467760586,48.04934501252319
six_workloads,workload,workload,Ethereum,DDoS,tps_positive_commit,iqr_pct,median,10,10,130,11,14,31.521645347291987,19.571308967655376,40.17701852828035
six_workloads,workload,workload,Ethereum,DDoS,tps_positive_commit,sample_std_pct,mean,10,10,130,11,14,28.976598718975435,23.435637180764527,31.99143875498589
six_workloads,workload,workload,Ethereum,DDoS,tps_positive_commit,sample_std_pct,median,10,10,130,11,14,25.90864688312574,18.653201016706298,28.597435603115873
six_workloads,workload,workload,Ethereum,FIFA,tps_positive_commit,iqr_pct,mean,10,10,133,12,16,57.36682974993438,41.866013346699155,69.20131869696742
six_workloads,workload,workload,Ethereum,FIFA,tps_positive_commit,iqr_pct,median,10,10,133,12,16,52.97898781550416,35.9286200704358,70.59808421718749
six_workloads,workload,workload,Ethereum,FIFA,tps_positive_commit,sample_std_pct,mean,10,10,133,12,16,45.177879926351125,37.54141545687012,48.173691798141874
six_workloads,workload,workload,Ethereum,FIFA,tps_positive_commit,sample_std_pct,median,10,10,133,12,16,44.391883879546135,34.22677021409882,48.67532966908387
six_workloads,workload,workload,Ethereum,GAFAM,tps_positive_commit,iqr_pct,mean,10,10,132,13,15,19.878684450931086,15.640512428679612,25.837558594485838
six_workloads,workload,workload,Ethereum,GAFAM,tps_positive_commit,iqr_pct,median,10,10,132,13,15,17.625421210643083,13.156040801236852,25.096648045232364
six_workloads,workload,workload,Ethereum,GAFAM,tps_positive_commit,sample_std_pct,mean,10,10,132,13,15,17.531481265602473,14.06991480700597,18.666082729695074
six_workloads,workload,workload,Ethereum,GAFAM,tps_positive_commit,sample_std_pct,median,10,10,132,13,15,16.790011591835416,11.986226100673553,18.14313133739522
six_workloads,workload,workload,Ethereum,Gaming,tps_positive_commit,iqr_pct,mean,10,10,131,13,14,33.8715585791286,23.054763320635704,46.51918239904127
six_workloads,workload,workload,Ethereum,Gaming,tps_positive_commit,iqr_pct,median,10,10,131,13,14,28.314393939393938,15.85584576395162,39.92809002003063
six_workloads,workload,workload,Ethereum,Gaming,tps_positive_commit,sample_std_pct,mean,10,10,131,13,14,27.851667875605507,22.5118134877782,30.79508620791299
six_workloads,workload,workload,Ethereum,Gaming,tps_positive_commit,sample_std_pct,median,10,10,131,13,14,23.572257534116552,18.63868595801393,28.045694337281414
six_workloads,workload,workload,Ethereum,PayPal,tps_positive_commit,iqr_pct,mean,10,10,134,13,15,7.8449381733323476,5.919282653777314,13.475129458051516
six_workloads,workload,workload,Ethereum,PayPal,tps_positive_commit,iqr_pct,median,10,10,134,13,15,5.2399751398051455,3.6856933973659305,8.883895430751451
six_workloads,workload,workload,Ethereum,PayPal,tps_positive_commit,sample_std_pct,mean,10,10,134,13,15,8.32057603521096,5.790000759511787,9.825902992660358
six_workloads,workload,workload,Ethereum,PayPal,tps_positive_commit,sample_std_pct,median,10,10,134,13,15,4.888866080587137,3.4638375699178074,5.752176839992066
six_workloads,workload,workload,Ethereum,VISA,tps_positive_commit,iqr_pct,mean,10,10,132,13,15,9.923441148084892,7.285835339227547,14.40611840724275
six_workloads,workload,workload,Ethereum,VISA,tps_positive_commit,iqr_pct,median,10,10,132,13,15,9.49543342516514,5.848402685892314,11.648402269534033
six_workloads,workload,workload,Ethereum,VISA,tps_positive_commit,sample_std_pct,mean,10,10,132,13,15,9.850141487453467,7.51678977014589,10.943279896968914
